Cycle 0  Time 0.81651006834053  MaxDepth 0  Grids 1  Memory(MB) 26.0147  Ratio 1
  Level 0  Grids 1  Memory(MB) 26.0147  Coverage 1  Ratio 1  Flagged 0  Active 32768
  Level 1  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 2  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 3  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 4  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 5  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 6  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 7  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 8  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 9  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 10  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 11  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0

Cycle 1  Time 0.84100471359182  MaxDepth 0  Grids 1  Memory(MB) 26.0147  Ratio 1
  Level 0  Grids 1  Memory(MB) 26.0147  Coverage 1  Ratio 1  Flagged 0  Active 32768
  Level 1  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 2  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 3  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 4  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 5  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 6  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 7  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 8  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 9  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 10  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 11  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0

Cycle 2  Time 0.86623416768199  MaxDepth 0  Grids 1  Memory(MB) 26.0147  Ratio 1
  Level 0  Grids 1  Memory(MB) 26.0147  Coverage 1  Ratio 1  Flagged 0  Active 32768
  Level 1  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 2  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 3  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
  Level 4  Grids 0  Memory(MB) 0  Coverage 0  Ratio 0  Flagged 0  Active 0
