#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         8.06616     9.82172e-07     9.82172e-07     9.82172e-07
         8.57696     8.37127e-07     8.37127e-07     8.37127e-07
         9.12011     7.13261e-07     7.13261e-07     7.13261e-07
         9.69765     6.07524e-07     6.07524e-07     6.07524e-07
         10.3118     5.17296e-07     5.17296e-07     5.17296e-07
         10.9648      4.4033e-07      4.4033e-07      4.4033e-07
         11.6591       3.747e-07       3.747e-07       3.747e-07
         12.3975     3.18757e-07     3.18757e-07     3.18757e-07
         13.1826     2.71086e-07     2.71086e-07     2.71086e-07
         14.0174     2.30478e-07     2.30478e-07     2.30478e-07
          14.905     1.95898e-07     1.95898e-07     1.95898e-07
         15.8489      1.6646e-07      1.6646e-07      1.6646e-07
         16.8526     1.41408e-07     1.41408e-07     1.41408e-07
         17.9198     1.20094e-07     1.20094e-07     1.20094e-07
         19.0546     1.01967e-07     1.01967e-07     1.01967e-07
         20.2613     8.65537e-08     8.65537e-08     8.65537e-08
         21.5443     7.34522e-08     7.34522e-08     7.34522e-08
         22.9087     6.23187e-08     6.23187e-08     6.23187e-08
         24.3594     5.28602e-08     5.28602e-08     5.28602e-08
          25.902     4.48268e-08     4.48268e-08     4.48268e-08
         27.5423     3.80056e-08     3.80056e-08     3.80056e-08
         29.2864     3.22151e-08     3.22151e-08     3.22151e-08
         31.1411     2.73009e-08     2.73009e-08     2.73009e-08
         33.1131     2.31314e-08     2.31314e-08     2.31314e-08
         35.2101     1.95945e-08     1.95945e-08     1.95945e-08
         37.4398      1.6595e-08      1.6595e-08      1.6595e-08
         39.8107     1.40518e-08     1.40518e-08     1.40518e-08
         42.3318      1.1896e-08      1.1896e-08      1.1896e-08
         45.0125     1.00689e-08     1.00689e-08     1.00689e-08
          47.863     8.52087e-09     8.52087e-09     8.52087e-09
          50.894     7.20947e-09     7.20947e-09     7.20947e-09
          54.117     6.09877e-09     6.09877e-09     6.09877e-09
          57.544     5.15825e-09     5.15825e-09     5.15825e-09
         61.1881       4.362e-09       4.362e-09       4.362e-09
         65.0629     3.68802e-09     3.68802e-09     3.68802e-09
         69.1831     3.11765e-09     3.11765e-09     3.11765e-09
         73.5642     2.63504e-09     2.63504e-09     2.63504e-09
         78.2228     2.22677e-09     2.22677e-09     2.22677e-09
         83.1764     1.88145e-09     1.88145e-09     1.88145e-09
         88.4437     1.58943e-09     1.58943e-09     1.58943e-09
         94.0445     1.34253e-09     1.34253e-09     1.34253e-09
             100      1.1338e-09      1.1338e-09      1.1338e-09
         106.333     9.57382e-10     9.57382e-10     9.57382e-10
         113.066     8.08294e-10     8.08294e-10     8.08294e-10
         120.226     6.82322e-10     6.82322e-10     6.82322e-10
          127.84       5.759e-10       5.759e-10       5.759e-10
         135.936     4.86008e-10     4.86008e-10     4.86008e-10
         144.544      4.1009e-10      4.1009e-10      4.1009e-10
         153.697     3.45984e-10     3.45984e-10     3.45984e-10
         163.431      2.9186e-10      2.9186e-10      2.9186e-10
          173.78      2.4617e-10      2.4617e-10      2.4617e-10
         184.785     2.07605e-10     2.07605e-10     2.07605e-10
         196.487      1.7506e-10      1.7506e-10      1.7506e-10
          208.93     1.47598e-10     1.47598e-10     1.47598e-10
          222.16     1.24428e-10     1.24428e-10     1.24428e-10
         236.229     1.04883e-10     1.04883e-10     1.04883e-10
         251.189     8.83976e-11     8.83976e-11     8.83976e-11
         267.096     7.44943e-11     7.44943e-11     7.44943e-11
          284.01     6.27704e-11     6.27704e-11     6.27704e-11
         301.995     5.28855e-11     5.28855e-11     5.28855e-11
         321.119     4.45522e-11     4.45522e-11     4.45522e-11
         341.455     3.75278e-11     3.75278e-11     3.75278e-11
         363.078     3.16075e-11     3.16075e-11     3.16075e-11
         386.071     2.66183e-11     2.66183e-11     2.66183e-11
         410.519     2.24142e-11     2.24142e-11     2.24142e-11
         436.516     1.88721e-11     1.88721e-11     1.88721e-11
         464.159     1.58881e-11     1.58881e-11     1.58881e-11
         493.552     1.33746e-11     1.33746e-11     1.33746e-11
         524.807     1.12576e-11     1.12576e-11     1.12576e-11
         558.042     9.47469e-12     9.47469e-12     9.47469e-12
         593.381     7.97339e-12     7.97339e-12     7.97339e-12
         630.957     6.70934e-12     6.70934e-12     6.70934e-12
         670.914     5.64514e-12     5.64514e-12     5.64514e-12
           713.4     4.74929e-12     4.74929e-12     4.74929e-12
         758.578     3.99524e-12     3.99524e-12     3.99524e-12
         806.616      3.3606e-12      3.3606e-12      3.3606e-12
         857.696     2.82651e-12     2.82651e-12     2.82651e-12
         912.011      2.3771e-12      2.3771e-12      2.3771e-12
         969.765     1.99897e-12     1.99897e-12     1.99897e-12
         1031.18     1.68084e-12     1.68084e-12     1.68084e-12
         1096.48     1.41322e-12     1.41322e-12     1.41322e-12
         1165.91     1.18811e-12     1.18811e-12     1.18811e-12
         1239.75      9.9877e-13      9.9877e-13      9.9877e-13
         1318.26     8.39537e-13     8.39537e-13     8.39537e-13
         1401.74     7.05633e-13     7.05633e-13     7.05633e-13
          1490.5     5.93039e-13     5.93039e-13     5.93039e-13
         1584.89     4.98371e-13     4.98371e-13     4.98371e-13
         1685.26     4.18783e-13     4.18783e-13     4.18783e-13
         1791.98     3.51877e-13     3.51877e-13     3.51877e-13
         1905.46     2.95638e-13     2.95638e-13     2.95638e-13
         2026.13     2.48368e-13     2.48368e-13     2.48368e-13
         2154.43     2.08641e-13     2.08641e-13     2.08641e-13
         2290.87     1.75256e-13     1.75256e-13     1.75256e-13
         2435.94     1.47202e-13     1.47202e-13     1.47202e-13
          2590.2     1.23629e-13     1.23629e-13     1.23629e-13
